Nigeria,United States,Pakistan,China,North Korea,a hospital,Afghanistan,Canada,Sweden
13.0,21.0,15.0,15.0,19.0,19.0,15.0,23.0,15.0
7.0,11.5,7.0,13.5,11.0,9.5,9.0,11.0,7.0
18.0,16.0,14.0,16.0,18.0,14.0,14.0,14.0,14.0
10.0,8.0,12.0,8.0,7.0,12.0,12.0,8.0,14.0
3.0,3.0,3.0,3.0,7.0,5.0,5.0,5.0,5.0
13.5,11.0,16.0,11.0,13.5,11.0,11.0,11.0,16.0
8.0,8.0,10.0,8.0,10.0,8.0,8.0,10.0,8.0
7.0,9.0,7.0,5.0,12.0,10.0,8.0,9.0,9.0
18.0,19.0,19.0,18.0,18.0,19.0,18.0,17.0,19.0
9.0,7.0,5.0,9.0,6.0,12.0,9.0,12.0,13.0
10.0,10.0,6.0,11.0,10.0,6.0,10.0,10.0,10.0
14.0,14.0,10.0,15.0,16.0,14.0,14.0,14.0,14.0
19.0,6.0,5.0,1.0,6.0,9.0,4.0,8.0,2.0
,,,,,,,,
