Nigeria,United States,Pakistan,China,North Korea,a hospital,Afghanistan,Canada,Sweden
16.0,21.0,21.0,19.0,17.0,23.0,19.0,23.0,16.0
11.0,11.0,11.0,13.0,10.0,16.0,13.0,15.0,17.5
18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,16.0
6.0,10.6,11.0,8.0,6.0,14.0,7.0,14.0,10.0
7.0,11.0,8.0,9.0,5.0,9.0,13.0,11.0,7.0
16.0,18.0,18.0,18.0,10.0,16.0,18.0,18.0,18.0
12.0,8.0,18.0,10.0,9.0,14.0,14.0,14.0,14.0
10.0,9.0,12.0,12.0,10.0,12.0,12.0,9.0,9.0
20.0,19.0,19.0,19.0,19.0,21.5,18.0,20.0,19.0
15.0,17.0,15.0,15.0,17.0,13.0,11.0,13.0,14.0
10.0,12.0,16.0,16.0,12.0,16.0,10.0,14.0,14.0
18.0,20.0,20.0,23.0,20.0,16.0,18.0,18.0,18.0
20.0,13.0,11.0,16.0,17.0,19.0,15.5,19.0,13.0
,,,,,,,,
