Nigeria,United States,Pakistan,China,North Korea,a hospital,Afghanistan,Canada,Sweden
21.0,19.0,17.0,17.0,19.0,19.0,20.0,19.0,21.0
7.0,9.0,7.0,13.0,11.0,13.0,7.0,9.0,9.0
14.0,18.0,16.0,14.0,12.0,14.0,18.0,14.0,18.0
14.0,14.0,10.0,13.0,10.0,11.0,14.0,10.0,12.0
7.0,9.0,7.0,11.0,5.0,7.0,10.0,9.0,7.0
11.5,13.5,13.5,9.5,13.5,15.5,13.5,13.5,15.5
8.0,8.0,8.0,10.0,10.0,8.0,8.0,6.0,10.0
11.0,9.0,7.0,7.0,12.0,7.0,7.0,7.0,7.0
19.0,19.0,15.1,19.0,19.0,13.4,17.0,18.0,17.0
15.0,10.0,13.0,12.0,11.5,10.0,13.0,15.0,10.0
15.0,15.0,13.0,11.0,10.0,16.0,14.0,9.0,16.0
15.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
11.0,7.0,9.0,9.0,6.0,9.0,11.0,8.0,12.0
,,,,,,,,
