Nigeria,United States,Pakistan,China,North Korea,a hospital,Afghanistan,Canada,Sweden
17.0,23.0,23.0,21.0,19.0,23.0,19.0,21.0,19.0
14.0,16.0,16.5,11.0,15.5,15.0,11.0,13.0,15.0
18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
6.0,11.0,7.0,12.0,6.5,8.0,9.0,10.0,8.6
12.0,9.0,18.0,9.0,6.0,9.0,9.0,9.0,9.0
18.0,16.0,18.0,14.0,10.0,16.0,16.0,18.0,15.0
8.0,12.0,10.0,12.0,8.0,13.0,14.0,16.0,14.0
14.0,9.0,10.0,9.0,10.0,9.0,7.0,9.0,14.0
19.0,15.375,23.5,19.0,18.0,19.0,18.0,19.0,19.0
15.0,12.0,15.0,15.0,11.0,21.0,17.0,17.0,14.0
20.0,16.0,14.0,14.0,12.0,16.0,14.0,18.0,17.0
16.0,20.0,21.0,20.0,16.0,18.0,16.0,20.0,19.0
20.0,13.5,17.0,20.0,16.0,14.0,18.0,18.0,18.0
,,,,,,,,
